Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Ceratium_fusus_biomass,D_Ceratium_cf._tripos_biomass,D_Ceratium_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag
SKQ202010S,GAK1,B,2020-07-03T01:03:48Z,-149.465,59.843,270.2,3,10.37,18,6.501,4.256,2.244,0.667,2.407,0.98,0.203,0.567,0,0.153,1.961,0,0.267,0,0,0,0.041,1.267,0.182,0.383,1.205,0.474,0.124,0,0.578,0,0,0,0,0.656,0.395,0.109,0.074,0,0.309,1
SKQ202010S,GAK3,B,2020-07-04T16:27:19Z,-149.188,59.553,214,6,10.1,14,4.515,1.914,2.601,1.246,0.464,0.204,0,0.283,0,0.042,0.103,0,0,0,0,0.013,0,1.473,1.092,0.8,0.452,0.256,0.149,0,0.523,0,0.081,0,0,0,0.581,0,0.097,0.074,1.096,1
SKQ202010S,GAK5,B,2020-07-04T23:26:35Z,-148.909,59.262,167,8,10.73,18,33.482,23.919,9.562,20.857,2.683,0.12,0.26,0.345,0,0.474,0.108,0,0.034,0,0,0.031,0.164,22.763,4.037,5.252,0.191,0.083,0.694,0,0,0,0,0,0,0,2.607,0,0.603,0,5.657,1
SKQ202010S,GAK7,B,2020-07-05T20:51:18Z,-148.631,58.972,239,12,10.3,14,9.002,2.832,6.17,1.472,1.205,0,0.155,0.37,0,0.382,0,0.003,0.052,0,0,0,0,2.025,2.895,3.275,0,0,0.909,0,0,0,0,0,0,0,0.563,0,0.405,0,4.292,1
SKQ202010S,GAK9,B,2020-07-06T20:00:24Z,-148.35,58.681,276,18,10.33,19,17.433,6.688,10.745,2.415,4.273,0,0,0.547,0,0.819,0.035,0,0,0,0,0.014,3.969,1.304,3.89,6.855,0,0,0.925,0,0,0,0,0,0,0,1.614,0,1.06,0,7.147,1
SKQ202010S,GAK11,B,2020-07-07T03:17:56Z,-148.073,58.388,1412,20,9.84,22,7.663,4.009,3.654,0.442,2.994,0,0.574,0.595,0.477,0.425,0.548,0,0.159,0,0,0,0.276,1.53,1.104,2.261,0.289,0,0.221,0,0,0,0,0.048,0,0,0.378,0,0.095,0,2.912,1
SKQ202010S,GAK15,B,2020-07-07T20:46:29Z,-147.504,57.792,4437,23,10.17,22,11.789,5.73,6.059,0.718,3.727,1.285,0,0.813,0,1.04,1.111,0,0.492,0,0,0.177,0.06,2.038,1.376,3.358,0.733,0.592,0.582,0,0,0,0.015,0.086,0,0,1.228,0,0.182,0,3.966,1
SKQ202010S,GAK13,B,2020-07-08T03:39:59Z,-147.794,58.098,2065,25,10.18,20,27.161,7.378,19.782,0.887,4.151,0.982,1.358,0.571,1.447,1.437,0.996,0,0,0,0,0.343,0.04,2.545,1.491,17.626,0.566,0.099,13.962,0,0,0,0.087,0.026,0,0,1.57,0,0.238,0.02,3.88,1
SKQ202010S,MID10,B,2020-07-08T20:53:01Z,-146.001,58.91,4445,27,10.23,17,17.81,8.005,9.805,2.896,4.262,0.847,0,0.719,0,1.305,0.065,0,1.513,0,0,0.113,0.437,3.854,2.642,6.952,0.211,0,0.579,0,0,0,0,0.203,0,0,2.076,0,0.745,0,6.202,1
SKQ202010S,MID5,B,2020-07-09T21:14:26Z,-146.098,59.65,94,37,10.1,8,13.446,7.229,6.218,3.193,4.036,0,0,0.188,0,1.154,0.356,0,0,0,0,0,3.874,1.657,3.025,2.863,0,0.33,0.28,0,0.33,0,0,0,0,0,1.636,0,0.494,0,3.477,1
SKQ202010S,MID2,B,2020-07-10T19:11:08Z,-145.65,60.1,118,45,10.14,12,3.044,1.207,1.837,0.16,0.856,0.191,0,0.018,0,0.03,0.034,0,0.282,0,0,0,0.642,0.201,0.236,0.171,1.15,0.281,0.008,0,1.086,0.313,0.031,0.007,0.018,0,0.07,0,0.031,0,0.272,1
SKQ202010S,PL20,B,2020-07-11T23:44:16Z,-144.645,60.081,130,47,10.59,8,11.719,2.693,9.026,0.142,1.082,1.469,0,0.018,0.089,0,0.307,0,0.562,0,0,0,1.239,0.48,0.22,0.358,5.666,2.783,0.038,0,8.156,0.277,0,0.011,0,0,0.136,0,0.135,0.014,0.259,1
SKQ202010S,PL21,B,2020-07-12T20:07:34Z,-145.323,60.143,71,49,10.19,6,15.37,12.753,2.618,0.203,5.23,7.32,0,0.061,0.068,0.098,0.112,0,0.19,0,0,0,11.948,0.275,0.123,0.254,2.074,0.167,0.051,0,1.934,0.204,0.044,0,0,0.057,0.076,0,0.022,0,0.229,1
SKQ202010S,PL22,B,2020-07-13T18:05:58Z,-146.38,60.047,62,51,9.91,8,6.22,2.872,3.348,0.612,1.201,0.819,0.24,0.176,0.509,0.165,0.407,0,0.082,0,0,0,0.684,0.848,0.091,0.204,2.159,0.894,0.016,0,2.447,0,0,0,0,0.102,0.558,0,0.005,0.017,0.203,1
SKQ202010S,PWS2,B,2020-07-14T19:46:57Z,-147.802,60.536,729,53,10.14,21,19.485,4.863,14.622,1.004,2.185,1.246,0.427,1.215,0,0.392,1.194,0,0,0.427,0.061,0,0.167,1.406,1.482,5.683,3.372,4.085,1.386,3.186,1.871,0.899,0.376,0.138,0,0.34,4.133,0.127,0.269,0,1.897,1
