Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Ceratium_fusus_biomass,D_Ceratium_cf._tripos_biomass,D_Ceratium_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag
SKQ202006s,GAK1,B,   2020-05-04T18:09:15Z,-149.467,59.845,271,2,10,21,12.27,4.69,7.58,1.122,2.712,0.135,0.721,0,0.503,0.53,2.591,0,0,0,0,0.213,0,0.853,0.583,1.756,0.083,5.158,0.147,0,0,0.533,0,0,0,4.625,1.206,0,0.03,0,1.039,1
SKQ202006s,GAK1,B,   2020-05-10T22:01:53Z,-149.467,59.845,271,42,10,12,3.48,0.491,2.989,0.039,0.334,0.117,0,0,0,0.13,0.193,0,0,0,0,0.066,0,0.102,0.805,0.644,0.108,1.432,0.059,0,0,0.394,0,0,0,1.038,1.022,0,0.022,0,0.453,1
SKQ202006s,GAK3,B,   2020-05-10T16:21:08Z,-149.188,59.553,214,38,10,10,2.899,0.81,2.089,0.056,0.479,0.135,0.14,0,0.14,0.121,0.242,0,0.052,0,0,0.087,0,0.167,0.258,0.632,0.299,0.901,0.347,0,0,0.382,0,0,0.01,0,0.233,0,0.023,0,1.094,1
SKQ202006s,GAK5,B,   2020-05-09T16:01:37Z,-148.908,59.262,168,29,10,10,8.806,3.672,5.135,0.399,1.643,1.119,0.511,0.196,0,1.293,0.217,0,0,0,0,0.348,0.077,1.541,0.619,1.879,0.631,2.005,0.151,0,0,0.96,0,0,0,0,1.792,0,0.092,0,2.139,1
SKQ202006s,GAK7,B,   2020-05-09T21:58:11Z,-148.63,58.972,244,33,10,11,6.509,5.548,0.961,0.305,2.762,0.95,1.531,0.037,0.712,0.575,1.741,0.54,0.363,0,0,0.067,0,1.513,0.366,0.581,0.014,0,0.061,0,0,0,0,0,0,0,0.114,0,0.029,0,0.757,1
SKQ202006s,GAK9,B,   2020-05-05T19:59:32Z,-148.35,58.68,280,5,10,13,11.979,5.239,6.741,0.198,3.939,0.809,0.293,0,0,0.05,3.615,0,0.272,0,0,0.074,0,1.228,0.589,1.561,2.348,2.242,1.662,0,0,0.491,0.467,0,0,0.197,0.736,0,0.227,0,2.961,1
SKQ202006s,GAK11,B,   2020-05-06T03:17:10Z,-148.072,58.388,1443,10,10,15,6.953,2.405,4.547,0.415,1.594,0.361,0.036,0,0,0.082,0.596,0,0.187,0,0,0.226,0,1.315,0.351,1.263,0.71,2.223,2.721,0,0,0,0,0,0,0,0.365,0,0.034,0,1.428,1
SKQ202006s,GAK13,B,   2020-05-06T22:28:39Z,-147.793,58.098,2059,16,10,23,7.005,1.683,5.322,0.119,1.094,0.119,0.35,0.325,0,0.064,0.654,0,0,0,0,0.155,0,0.485,0.408,0.9,0.516,3.498,3.433,0,0,0,0,0,0,0,0.412,0,0.023,0,1.453,1
SKQ202006s,GAK15,B,   2020-05-06T15:04:16Z,-147.5,57.792,4543,12,10,15,25.934,11.678,14.256,0.891,3.849,2.858,4.079,0.648,0.831,2.451,1.299,0,1.468,0,0,0.782,0,4.2,0.643,6.18,1.983,5.45,1.872,0,0,0.95,0,0,0,1.989,1.202,0,0.985,0,7.258,1
SKQ202006s,PWS2,B,   2020-05-07T21:18:00Z,-147.803,60.535,736,21,10,13,2.765,1.161,1.604,0.125,0.555,0.405,0.075,0,0,0.193,0.444,0,0,0,0,0.005,0,0.519,0.534,0.803,0.045,0.221,0.015,0,0,0,0,0,0,0,0.596,0,0.011,0,0.982,1
