Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20,Oligotrich_Ciliate_20-39,Oligotrich_Ciliate_40-59,Oligotrich_Ciliate_>60,Laboea,Tintinnids,Dinoflagellate_<20,Dinoflagellate_20-39,Dinoflagellate_40-59,Dinoflagellate_>60,Silicoflagellate,Total_Ciliates ,Total_Dinoflagellates,Quality_flag
TGX201909,PWS2,B,2019-09-12T21:46:53,-147.7962,60.535,732,6,10.66,9,0.74,0.91,0.45,0,0,0.15,2.58,0.91,0.13,0.19,1.4,2.26,3.81,1
TGX201909,MID2,B,2019-09-14T21:00:53,-145.6487,60.1018,118,19,10.2,12,0.36,0.84,0.64,0.24,0.24,2.03,0.42,1.15,0.31,0,0.11,4.35,1.88,1
TGX201909,MID5,B,2019-09-15T18:48:03,-146.1133,59.6578,92,29,9.93,11,0.27,0.63,0.39,0.43,0,0,1.19,2.04,0.94,0.09,0,1.73,4.27,1
TGX201909,GAK1,B,2019-09-16T20:53:02,-149.4833,59.8438,271,38,9.53,9,1.09,4.6,1.84,1.33,0.92,0.07,3.95,4.91,1.92,1.95,0.65,9.84,12.73,1
TGX201909,GAK3,B,2019-09-17T02:17:12,-149.1915,59.555,214,42,9,13,0.79,2.21,1.47,0,0,1.22,0.39,0.11,0,0,1.29,5.7,0.5,1
TGX201909,GAK5,B,2019-09-17T19:47:51,-148.9268,59.2452,169,47,10.3,12,0.68,4.07,0.74,8.23,0.57,0.04,2.33,3.95,7.7,0.56,1.11,14.33,14.54,1
TGX201909,GAK7,B,2019-09-18T01:01:02,-148.634,58.9732,244,51,9.55,11,1.22,2.43,0.22,0,0,0,0.4,0.23,0.14,0.2,0.63,3.87,0.97,1
TGX201909,GAK9,B,2019-09-19T19:02:19,-148.3438,58.6778,280,58,9.98,13,0.82,0.88,0.37,0,0,0.01,1.39,1.62,0.07,0,1.33,2.09,3.08,1
TGX201909,GAK11,B,2019-09-20T00:40:04,-148.0698,58.3867,1443,61,9.37,14,1.77,2.88,0.08,1.08,0.78,0.18,0.6,0.33,0,0,1.53,6.76,0.93,1
TGX201909,GAK13,B,2019-09-20T05:44:01,-147.7918,58.1002,2059,63,9.99,14,0.78,2.2,0.61,5.26,0,0,0.34,0.41,0,0,0,8.85,0.75,1
TGX201909,KOD5,B,2019-09-22T18:08:57,-150.759,57.7833,87,66,9.13,13,2.32,4.76,0.25,0,0.77,0,1.11,1.01,0,0,7.39,8.1,2.12,1
